Depth	Depth_m	Depth_m(Nablank)	Admix_71_Pop1	Admix_71_Pop2	Admix_All_Pop1	Admix_All_Pop2	PC1_AllSNPs
20-25m	22	22	0.93686	0.06314	0.802706	0.197294	0.0309927
20-25m	22	22	0.290899	0.709101	0.597567	0.402433	0.0146365
20-25m	22	22	0.206629	0.793371	0.516235	0.483765	0.01083
5-10m	7	7	0.366462	0.633538	0.366132	0.633868	0.0023742
0-5m	3	3	0.274567	0.725433	0.00001	0.99999	-0.036873
0-5m	3	3	0.304704	0.695296	0.116744	0.883256	-0.0283017
5-10m	7	7	0.929826	0.070174	0.747248	0.252752	0.023032
20-25m	22	22	0.397655	0.602345	0.00001	0.99999	-0.0434307
20-25m	22	22	0.171996	0.828004	0.045987	0.954013	-0.025746
0-5m	3	3	0.264623	0.735377	0.00001	0.99999	-0.0406471
0-5m	3	3	0.638225	0.361775	0.209031	0.790969	-0.0171389
5-10m	7	7	0.139127	0.860873	0.119971	0.880029	-0.0263541
5-10m	7	7	0.683003	0.316997	0.58174	0.41826	0.0117402
5-10m	7	7	0.435013	0.564987	0.576399	0.423601	0.0140494
5-10m	7	7	0.00001	0.99999	0.00001	0.99999	-0.0483622
5-10m	7	7	0.144389	0.855611	0.00001	0.99999	-0.0320607
5-10m	7	7	0.345785	0.654215	0.228342	0.771658	-0.00963754
5-10m	7	7	0.458562	0.541438	0.00001	0.99999	-0.0380903
5-10m	7	7	0.469999	0.530001	0.068065	0.931935	-0.0234386
5-10m	7	7	0.207978	0.792022	0.00001	0.99999	-0.0579307
20-25m	22	22	0.99999	0.00001	0.973803	0.026197	0.0558315
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0554115
20-25m	22	22	0.937538	0.062462	0.99999	0.00001	0.0576151
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0578522
20-25m	22	22	0.721674	0.278326	0.99999	0.00001	0.0555156
20-25m	22	22	0.688202	0.311798	0.99999	0.00001	0.0565034
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0520111
20-25m	22	22	0.964774	0.035226	0.99999	0.00001	0.0508355
15-20m	18	18	0.70451	0.29549	0.99999	0.00001	0.0528973
0-5m	3	3	0.403941	0.596059	0.137385	0.862615	-0.0223474
20-25m	22	22	0.936486	0.063514	0.99999	0.00001	0.0505558
0-5m	3	3	0.327891	0.672109	0.050194	0.949806	-0.0391791
0-5m	3	3	0.687584	0.312416	0.119011	0.880989	-0.0274069
0-5m	3	3	0.242196	0.757804	0.00001	0.99999	-0.0473062
0-5m	3	3	0.275991	0.724009	0.00001	0.99999	-0.0538691
0-5m	3	3	0.479861	0.520139	0.00001	0.99999	-0.0344007
0-5m	3	3	0.212388	0.787612	0.00001	0.99999	-0.0431219
0-5m	3	3	0.416879	0.583121	0.00001	0.99999	-0.045904
15-20m	18	18	0.964453	0.035547	0.99999	0.00001	0.055525
15-20m	18	18	0.99999	0.00001	0.99999	0.00001	0.0606686
15-20m	18	18	0.892864	0.107136	0.99999	0.00001	0.05899
15-20m	18	18	0.99819	0.00181	0.99999	0.00001	0.053611
15-20m	18	18	0.99999	0.00001	0.99999	0.00001	0.0572526
15-20m	18	18	0.466398	0.533602	0.99999	0.00001	0.0563519
15-20m	18	18	0.969527	0.030473	0.99999	0.00001	0.0520845
15-20m	18	18	0.99999	0.00001	0.99999	0.00001	0.0529112
15-20m	18	18	0.950659	0.049341	0.99999	0.00001	0.0533754
15-20m	18	18	0.520542	0.479458	0.775819	0.224181	0.027354
15-20m	18	18	0.99999	0.00001	0.99999	0.00001	0.0552076
0-5m	3	3	0.197944	0.802056	0.00001	0.99999	-0.0354659
0-5m	3	3	0.268254	0.731746	0.00001	0.99999	-0.0540261
0-5m	3	3	0.332378	0.667622	0.00001	0.99999	-0.0288095
0-5m	3	3	0.237892	0.762108	0.00001	0.99999	-0.043011
0-5m	3	3	0.075511	0.924489	0.00001	0.99999	-0.032641
0-5m	3	3	0.127231	0.872769	0.00001	0.99999	-0.0403626
0-5m	3	3	0.563459	0.436541	0.00001	0.99999	-0.0402011
0-5m	3	3	0.213117	0.786883	0.083909	0.916091	-0.017017
0-5m	3	3	0.221618	0.778382	0.00001	0.99999	-0.0343298
0-5m	3	3	0.170623	0.829377	0.00001	0.99999	-0.0517745
0-5m	3	3	0.62533	0.37467	0.154188	0.845812	-0.0195137
