Depth	Depth_m	Depth_m(Nablank)	Admix_71_Pop1	Admix_71_Pop2	Admix_All_Pop1	Admix_All_Pop2	PC1_AllSNPs
10-15m	NA		0.646229	0.353771	0.99999	0.00001	0.050013
10-15m	NA		0.740836	0.259164	0.99999	0.00001	0.050836
10-15m	NA		0.593921	0.406079	0.832804	0.167196	0.0344424
10-15m	NA		0.838268	0.161732	0.99999	0.00001	0.0534305
10-15m	NA		0.971055	0.028945	0.99999	0.00001	0.0535016
10-15m	NA		0.962099	0.037901	0.99999	0.00001	0.053174
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0550121
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0536281
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0509907
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0569951
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.050269
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0540147
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0525521
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0512291
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0506393
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0464503
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0534361
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0454281
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0497151
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0451052
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0524845
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0524326
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0515339
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0476764
10-15m	NA		0.968998	0.031002	0.999274	0.000726	0.0464342
10-15m	NA		0.981125	0.018875	0.99999	0.00001	0.0475989
10-15m	NA		0.605348	0.394652	0.500991	0.499009	0.00437096
10-15m	NA		0.711553	0.288447	0.99999	0.00001	0.0482165
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0508429
10-15m	NA		0.983954	0.016046	0.99999	0.00001	0.0472068
10-15m	NA		0.970033	0.029967	0.967857	0.032143	0.0447849
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0510789
10-15m	NA		0.648819	0.351181	0.99999	0.00001	0.0496606
10-15m	NA		0.951354	0.048646	0.99999	0.00001	0.0466169
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0490606
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0537821
10-15m	NA		0.973564	0.026436	0.99999	0.00001	0.0494309
10-15m	NA		0.796252	0.203748	0.553596	0.446404	0.0111914
10-15m	NA		0.725183	0.274817	0.460811	0.539189	0.00654167
10-15m	NA		0.389504	0.610496	0.622455	0.377545	0.0145414
10-15m	NA		0.888988	0.111012	0.92136	0.07864	0.0434213
10-15m	NA		0.430511	0.569489	0.489008	0.510992	0.00543303
10-15m	NA		0.902252	0.097748	0.590111	0.409889	0.0149529
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0489635
10-15m	NA		0.643264	0.356736	0.244811	0.755189	-0.0203502
10-15m	NA		0.283324	0.716676	0.769857	0.230143	0.0261153
10-15m	NA		0.805943	0.194057	0.822441	0.177559	0.0265044
10-15m	NA		0.722655	0.277345	0.492295	0.507705	0.00640368
10-15m	NA		0.99999	0.00001	0.644892	0.355108	0.0172613
10-15m	NA		0.471576	0.528424	0.135914	0.864086	-0.0281549
10-15m	NA		0.990541	0.009459	0.99999	0.00001	0.0497068
10-15m	NA		0.827519	0.172481	0.519254	0.480746	0.00680517
10-15m	NA		0.983556	0.016444	0.99999	0.00001	0.04953
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0460473
10-15m	NA		0.950642	0.049358	0.956953	0.043047	0.044767
10-15m	NA		0.798215	0.201785	0.616017	0.383983	0.0117757
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0516426
10-15m	NA		0.687255	0.312745	0.890155	0.109845	0.0386442
10-15m	NA		0.540961	0.459039	0.602828	0.397172	0.012394
10-15m	NA		0.908994	0.091006	0.766138	0.233862	0.0295728
10-15m	NA		0.71757	0.28243	0.534875	0.465125	0.00925485
10-15m	NA		0.536919	0.463081	0.327041	0.672959	-0.00609164
10-15m	NA		0.725191	0.274809	0.99999	0.00001	0.0506532
10-15m	NA		0.510019	0.489981	0.547447	0.452553	0.0162747
10-15m	NA		0.255299	0.744701	0.00001	0.99999	-0.0428694
10-15m	NA		0.334429	0.665571	0.00001	0.99999	-0.041872
10-15m	NA		0.211256	0.788744	0.232477	0.767523	-0.017608
10-15m	NA		0.04284	0.95716	0.055213	0.944787	-0.0282754
10-15m	NA		0.130856	0.869144	0.070163	0.929837	-0.0294425
10-15m	NA		0.372322	0.627678	0.206933	0.793067	-0.0249095
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0490037
10-15m	NA		0.99999	0.00001	0.82306	0.17694	0.0306242
10-15m	NA		0.799966	0.200034	0.748626	0.251374	0.0242709
10-15m	NA		0.914676	0.085324	0.99999	0.00001	0.0511473
10-15m	NA		0.598702	0.401298	0.99999	0.00001	0.0511197
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0561155
20-25m	22	22	0.95061	0.04939	0.99999	0.00001	0.0577419
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0539018
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0527848
20-25m	22	22	0.732356	0.267644	0.99999	0.00001	0.0546498
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0517547
20-25m	22	22	0.727833	0.272167	0.99999	0.00001	0.0527274
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.05736
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0579066
20-25m	22	22	0.926275	0.073725	0.719759	0.280241	0.0253634
20-25m	22	22	0.669763	0.330237	0.99999	0.00001	0.0571349
20-25m	22	22	0.634881	0.365119	0.99999	0.00001	0.0486407
20-25m	22	22	0.987311	0.012689	0.99999	0.00001	0.0511148
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0570414
20-25m	22	22	0.71467	0.28533	0.99999	0.00001	0.0577929
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.057696
20-25m	22	22	0.520949	0.479051	0.99999	0.00001	0.0538239
20-25m	22	22	0.939479	0.060521	0.99999	0.00001	0.0557025
20-25m	22	22	0.850493	0.149507	0.558496	0.441504	0.0113615
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0572465
20-25m	22	22	0.699653	0.300347	0.99999	0.00001	0.0590233
20-25m	22	22	0.789027	0.210973	0.820342	0.179658	0.0287619
20-25m	22	22	0.703361	0.296639	0.891981	0.108019	0.0349683
20-25m	22	22	0.944549	0.055451	0.99999	0.00001	0.0544185
20-25m	22	22	0.971984	0.028016	0.981643	0.018357	0.0493431
20-25m	22	22	0.596459	0.403541	0.48546	0.51454	0.000150297
20-25m	22	22	0.996113	0.003887	0.99999	0.00001	0.0563047
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0475443
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0500566
20-25m	22	22	0.946985	0.053015	0.936242	0.063758	0.045232
20-25m	22	22	0.684689	0.315311	0.99999	0.00001	0.0516265
20-25m	22	22	0.77421	0.22579	0.99999	0.00001	0.0596315
20-25m	22	22	0.955462	0.044538	0.99999	0.00001	0.0580138
20-25m	22	22	0.714584	0.285416	0.99999	0.00001	0.0533784
20-25m	22	22	0.714343	0.285657	0.229878	0.770122	-0.0151474
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0486838
20-25m	22	22	0.950477	0.049523	0.99999	0.00001	0.050355
20-25m	22	22	0.766998	0.233002	0.99999	0.00001	0.0530179
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0537759
20-25m	22	22	0.997468	0.002532	0.99999	0.00001	0.0547745
20-25m	22	22	0.704177	0.295823	0.99999	0.00001	0.0548142
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0563612
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0579149
20-25m	22	22	0.992459	0.007541	0.99999	0.00001	0.0492707
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0539504
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0511973
20-25m	22	22	0.733625	0.266375	0.99999	0.00001	0.0538023
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0565006
20-25m	22	22	0.772098	0.227902	0.99999	0.00001	0.059569
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0545795
20-25m	22	22	0.685655	0.314345	0.963168	0.036832	0.0457404
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0556889
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0552525
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0546044
20-25m	22	22	0.857736	0.142264	0.99999	0.00001	0.0534192
20-25m	22	22	0.941578	0.058422	0.99999	0.00001	0.0576754
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.05173
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0485916
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0566091
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0524603
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0542686
20-25m	22	22	0.937075	0.062925	0.99999	0.00001	0.0574926
20-25m	22	22	0.696931	0.303069	0.99999	0.00001	0.0498751
20-25m	22	22	0.780772	0.219228	0.99999	0.00001	0.0556593
20-25m	22	22	0.992794	0.007206	0.99999	0.00001	0.0586614
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0572637
20-25m	22	22	0.783286	0.216714	0.99999	0.00001	0.0534188
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0550247
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0606095
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0485345
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0597855
20-25m	22	22	0.548828	0.451172	0.600216	0.399784	0.0147923
20-25m	22	22	0.658092	0.341908	0.99999	0.00001	0.0495473
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.060992
10-15m	12	12	0.223537	0.776463	0.184072	0.815928	-0.0258294
10-15m	12	12	0.49245	0.50755	0.556312	0.443688	0.00778931
10-15m	12	12	0.365473	0.634527	0.26729	0.73271	-0.00998744
10-15m	12	12	0.416699	0.583301	0.254387	0.745613	-0.0136008
10-15m	12	12	0.373566	0.626434	0.381593	0.618407	-0.0038272
10-15m	12	12	0.454041	0.545959	0.294616	0.705384	-0.00866328
10-15m	12	12	0.414003	0.585997	0.011169	0.988831	-0.0318636
10-15m	12	12	0.443708	0.556292	0.373522	0.626478	0.00131972
10-15m	12	12	0.006875	0.993125	0.070119	0.929881	-0.0348393
10-15m	12	12	0.248935	0.751065	0.014271	0.985729	-0.0422551
10-15m	12	12	0.426236	0.573764	0.048926	0.951074	-0.0314342
10-15m	12	12	0.507183	0.492817	0.505869	0.494131	0.00665677
10-15m	12	12	0.00001	0.99999	0.00001	0.99999	-0.0439414
10-15m	12	12	0.070831	0.929169	0.00001	0.99999	-0.0464622
10-15m	12	12	0.18312	0.81688	0.00001	0.99999	-0.0477479
10-15m	12	12	0.606797	0.393203	0.543732	0.456268	0.00330124
10-15m	12	12	0.663084	0.336916	0.00001	0.99999	-0.0410684
10-15m	12	12	0.228296	0.771704	0.00001	0.99999	-0.0469293
10-15m	12	12	0.057003	0.942997	0.00001	0.99999	-0.0412177
10-15m	12	12	0.203161	0.796839	0.00001	0.99999	-0.0438213
10-15m	12	12	0.192264	0.807736	0.00001	0.99999	-0.0375853
10-15m	12	12	0.359156	0.640844	0.00001	0.99999	-0.0422534
10-15m	12	12	0.555886	0.444114	0.00001	0.99999	-0.0417595
10-15m	12	12	0.677407	0.322593	0.414687	0.585313	0.00201327
10-15m	12	12	0.014125	0.985875	0.00001	0.99999	-0.0408418
10-15m	12	12	0.00001	0.99999	0.00001	0.99999	-0.0582462
10-15m	12	12	0.00001	0.99999	0.00001	0.99999	-0.037355
10-15m	12	12	0.99999	0.00001	0.597028	0.402972	0.010751
10-15m	12	12	0.074496	0.925504	0.00001	0.99999	-0.0413988
10-15m	12	12	0.24155	0.75845	0.094484	0.905516	-0.0229749
10-15m	12	12	0.333413	0.666587	0.00001	0.99999	-0.0571626
10-15m	12	12	0.410498	0.589502	0.503716	0.496284	0.00248771
10-15m	12	12	0.666892	0.333108	0.00001	0.99999	-0.0403241
10-15m	12	12	0.22457	0.77543	0.072603	0.927397	-0.0258909
10-15m	12	12	0.286094	0.713906	0.00001	0.99999	-0.0376659
10-15m	12	12	0.512242	0.487758	0.504184	0.495816	0.0043036
10-15m	12	12	0.450534	0.549466	0.599364	0.400636	0.0128756
10-15m	12	12	0.328931	0.671069	0.604121	0.395879	0.0140625
10-15m	12	12	0.786517	0.213483	0.502479	0.497521	0.000135682
10-15m	12	12	0.341751	0.658249	0.00001	0.99999	-0.0492383
10-15m	12	12	0.101354	0.898646	0.00001	0.99999	-0.0336581
10-15m	12	12	0.10202	0.89798	0.00001	0.99999	-0.0454502
10-15m	12	12	0.00001	0.99999	0.00001	0.99999	-0.0427789
10-15m	12	12	0.112454	0.887546	0.00001	0.99999	-0.0365167
10-15m	12	12	0.353622	0.646378	0.00001	0.99999	-0.040261
10-15m	12	12	0.447897	0.552103	0.00001	0.99999	-0.0392651
10-15m	12	12	0.021065	0.978935	0.00001	0.99999	-0.0454028
10-15m	12	12	0.140595	0.859405	0.00001	0.99999	-0.0439402
10-15m	12	12	0.136291	0.863709	0.00001	0.99999	-0.04286
10-15m	12	12	0.325145	0.674855	0.00001	0.99999	-0.0554302
10-15m	12	12	0.203313	0.796687	0.00001	0.99999	-0.0614644
10-15m	12	12	0.096551	0.903449	0.102823	0.897177	-0.0262651
10-15m	12	12	0.00001	0.99999	0.00001	0.99999	-0.0382946
10-15m	12	12	0.606006	0.393994	0.015577	0.984423	-0.0417569
10-15m	12	12	0.565545	0.434455	0.057516	0.942484	-0.024922
10-15m	12	12	0.451963	0.548037	0.00001	0.99999	-0.0387305
10-15m	12	12	0.091211	0.908789	0.00001	0.99999	-0.060415
10-15m	12	12	0.123831	0.876169	0.00001	0.99999	-0.0296859
10-15m	12	12	0.228437	0.771563	0.00001	0.99999	-0.0429832
10-15m	12	12	0.01342	0.98658	0.00001	0.99999	-0.0411646
10-15m	12	12	0.486569	0.513431	0.00001	0.99999	-0.0452464
10-15m	12	12	0.094949	0.905051	0.00001	0.99999	-0.0502079
10-15m	12	12	0.233258	0.766742	0.00001	0.99999	-0.0368858
10-15m	12	12	0.028012	0.971988	0.00001	0.99999	-0.0453575
10-15m	12	12	0.496012	0.503988	0.00001	0.99999	-0.0483584
10-15m	12	12	0.547012	0.452988	0.00001	0.99999	-0.0450192
10-15m	12	12	0.07939	0.92061	0.00001	0.99999	-0.0368359
10-15m	12	12	0.546755	0.453245	0.00001	0.99999	-0.0524168
10-15m	12	12	0.399947	0.600053	0.00001	0.99999	-0.037176
10-15m	12	12	0.389331	0.610669	0.00001	0.99999	-0.0580315
10-15m	12	12	0.187283	0.812717	0.00001	0.99999	-0.0531957
10-15m	12	12	0.366251	0.633749	0.00001	0.99999	-0.0453174
10-15m	12	12	0.330161	0.669839	0.00001	0.99999	-0.0542496
10-15m	12	12	0.00001	0.99999	0.00001	0.99999	-0.0347679
10-15m	12	12	0.311944	0.688056	0.00001	0.99999	-0.0453541
10-15m	12	12	0.371766	0.628234	0.00001	0.99999	-0.0435857
10-15m	12	12	0.163079	0.836921	0.00001	0.99999	-0.0369043
10-15m	12	12	0.00001	0.99999	0.00001	0.99999	-0.0403182
10-15m	12	12	0.459958	0.540042	0.00001	0.99999	-0.0502792
10-15m	12	12	0.00001	0.99999	0.00001	0.99999	-0.0442023
10-15m	12	12	0.367265	0.632735	0.00001	0.99999	-0.0457926
10-15m	12	12	0.00001	0.99999	0.00001	0.99999	-0.0549419
10-15m	12	12	0.212295	0.787705	0.00001	0.99999	-0.0355174
10-15m	12	12	0.14949	0.85051	0.00001	0.99999	-0.0493629
10-15m	12	12	0.016191	0.983809	0.00001	0.99999	-0.0485151
10-15m	12	12	0.311377	0.688623	0.00001	0.99999	-0.0433249
10-15m	12	12	0.355939	0.644061	0.00001	0.99999	-0.0482737
10-15m	12	12	0.456344	0.543656	0.106764	0.893236	-0.0219718
10-15m	12	12	0.417904	0.582096	0.029699	0.970301	-0.0258481
10-15m	12	12	0.387754	0.612246	0.101878	0.898122	-0.0238828
10-15m	12	12	0.832262	0.167738	0.398957	0.601043	-0.00523403
10-15m	12	12	0.945856	0.054144	0.705951	0.294049	0.0265553
10-15m	12	12	0.431215	0.568785	0.00001	0.99999	-0.0476633
10-15m	12	12	0.280964	0.719036	0.00001	0.99999	-0.0488833
10-15m	12	12	0.469247	0.530753	0.404274	0.595726	0.00399649
10-15m	12	12	0.64474	0.35526	0.316192	0.683808	-0.0125148
10-15m	12	12	0.919415	0.080585	0.792005	0.207995	0.0308712
10-15m	12	12	0.555725	0.444275	0.696925	0.303075	0.0210813
0-5m	3	3	0.144515	0.855485	0.00001	0.99999	-0.042393
0-5m	3	3	0.33122	0.66878	0.00001	0.99999	-0.0505028
0-5m	3	3	0.312251	0.687749	0.00001	0.99999	-0.0594553
0-5m	3	3	0.133546	0.866454	0.00001	0.99999	-0.0379307
0-5m	3	3	0.00001	0.99999	0.00001	0.99999	-0.0563549
0-5m	3	3	0.450118	0.549882	0.00001	0.99999	-0.0389463
0-5m	3	3	0.708165	0.291835	0.093497	0.906503	-0.0364235
0-5m	3	3	0.14784	0.85216	0.00001	0.99999	-0.0496349
0-5m	3	3	0.538552	0.461448	0.486153	0.513847	0.0029051
0-5m	3	3	0.033721	0.966279	0.138723	0.861277	-0.0228797
0-5m	3	3	0.092802	0.907198	0.00001	0.99999	-0.0458223
0-5m	3	3	0.323329	0.676671	0.011756	0.988244	-0.0322237
0-5m	3	3	0.425399	0.574601	0.00001	0.99999	-0.0535826
0-5m	3	3	0.058498	0.941502	0.00001	0.99999	-0.0393934
0-5m	3	3	0.392186	0.607814	0.00001	0.99999	-0.0543756
0-5m	3	3	0.415578	0.584422	0.00001	0.99999	-0.0382154
0-5m	3	3	0.222785	0.777215	0.00001	0.99999	-0.0466438
